champion,position,0,rank
Riven,TOP,,platinum
Urgot,TOP,,platinum
KSante,TOP,,platinum
Aatrox,TOP,,platinum
Viktor,MIDDLE,,platinum
Garen,MIDDLE,,platinum
,,,platinum
MissFortune,BOTTOM,,platinum
Skarner,JUNGLE,,platinum
MissFortune,BOTTOM,,platinum
Vayne,BOTTOM,,platinum
Vayne,BOTTOM,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
Azir,MIDDLE,,platinum
TwistedFate,MIDDLE,,platinum
Zac,JUNGLE,,platinum
Rakan,UTILITY,,platinum
,,,platinum
,,,platinum
Orianna,MIDDLE,,platinum
Azir,MIDDLE,,platinum
Akali,MIDDLE,,platinum
Azir,MIDDLE,,platinum
Renekton,MIDDLE,,platinum
Sylas,MIDDLE,,platinum
Syndra,MIDDLE,,platinum
Orianna,MIDDLE,,platinum
Senna,UTILITY,,platinum
Khazix,JUNGLE,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
Diana,MIDDLE,,platinum
Akali,MIDDLE,,platinum
Zed,MIDDLE,,platinum
,,,platinum
Sylas,MIDDLE,,platinum
Riven,TOP,,platinum
Riven,TOP,,platinum
Akali,MIDDLE,,platinum
Viktor,MIDDLE,,platinum
Leblanc,MIDDLE,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
Aatrox,TOP,,platinum
Gwen,TOP,,platinum
Gwen,TOP,,platinum
TahmKench,TOP,,platinum
TahmKench,TOP,,platinum
TahmKench,TOP,,platinum
,,,platinum
,,,platinum
