"win","kills","deaths","dmgObj","dmgTurr","vision_score","totalDmg","totalDmgTaken","totalMinions","gold","position","time","rank"
"True",3,5,13128,1201,6,75429,15900,91,7004,"top",22.1666666666667,"iron"
"False",1,12,1692,1218,1,64548,27624,80,7486,"top",26.9,"iron"
"True",13,2,15340,4649,8,126377,16910,114,12164,"top",22.9666666666667,"iron"
"True",7,12,17128,3114,8,150522,41170,123,12838,"top",36.45,"iron"
"False",3,9,3060,1198,7,62172,24057,75,8092,"bottom",35.6666666666667,"iron"
"False",1,14,1902,1163,7,90364,26134,95,8257,"bottom",34.0166666666667,"iron"
"True",2,3,2273,2273,18,144641,18995,178,9808,"top",32.3666666666667,"iron"
"True",3,0,280,0,11,41874,4903,82,5177,"middle",16.2,"iron"
"True",7,7,11404,2932,43,146458,27226,173,13272,"middle",36.6166666666667,"iron"
"True",10,1,1435,946,9,64045,6876,90,7552,"middle",16.3166666666667,"iron"
"True",6,10,13949,1451,70,184128,29951,97,15554,"utility",48.7,"iron"
"False",1,10,3141,396,63,33661,35720,20,9894,"utility",42.7833333333333,"iron"
"False",4,7,774,774,24,22171,17375,20,7220,"utility",23.7,"iron"
"True",3,5,6412,1172,25,26375,17712,15,8767,"utility",29.35,"iron"
"False",0,0,0,0,0,1009,636,2,814,"utility",3.9,"iron"
"False",6,6,849,0,21,120655,24389,169,10658,"middle",33.5,"iron"
"True",7,2,15899,4480,25,178546,19851,179,13321,"middle",34.9166666666667,"iron"
"False",5,14,2548,346,55,114199,37115,90,13911,"utility",47.1833333333333,"iron"
"True",7,10,2057,1972,35,71938,21326,58,10156,"utility",33.35,"iron"
"False",0,3,401,97,13,4992,4652,2,3532,"utility",15.8666666666667,"iron"
"False",1,8,2365,2365,26,69886,14361,52,6618,"utility",23.8333333333333,"iron"
"False",5,14,7384,2113,25,142082,52247,79,13897,"utility",41.3166666666667,"iron"
"False",7,12,3371,1211,26,87962,37455,63,11756,"utility",34.0666666666667,"iron"
"False",3,12,1735,945,60,63462,29853,53,10545,"utility",36.8,"iron"
"False",5,10,1965,1965,10,110578,26129,161,9987,"bottom",30.3666666666667,"iron"
"True",3,1,5370,5241,9,60462,5662,104,7344,"bottom",18.4333333333333,"iron"
"True",2,5,36176,8441,25,134216,18687,127,10391,"bottom",33.8833333333333,"iron"
"False",14,6,17098,5217,11,202360,38369,202,15437,"top",33.0333333333333,"iron"
"True",6,2,2407,0,11,128027,18702,14,9074,"jungle",27.6666666666667,"iron"
"True",4,4,5056,0,8,91853,16336,4,7400,"jungle",22.25,"iron"
"False",0,2,0,0,0,2627,3610,15,2239,"top",13.75,"iron"
"False",8,8,5213,2062,8,70550,62569,112,14634,"top",47.5833333333333,"iron"
"False",4,8,844,844,0,40165,32823,87,7455,"top",29.2,"iron"
"True",2,1,923,923,0,19986,9800,73,5532,"top",18.2166666666667,"iron"
"True",15,10,40123,5497,12,340240,51901,110,21210,"jungle",42.5666666666667,"iron"
"True",6,2,3854,1173,8,28731,7760,11,7266,"utility",20.7833333333333,"iron"
"False",2,12,115,115,12,45562,19903,44,7329,"utility",28.5166666666667,"iron"
"False",3,7,2733,853,4,25370,12820,8,6398,"utility",21.8333333333333,"iron"
"False",10,12,3987,858,11,59817,27138,43,12451,"utility",31.2166666666667,"iron"
"True",9,7,4934,216,23,84165,27863,107,11012,"middle",32.6,"iron"
"False",3,5,6722,0,11,88992,19245,13,9099,"jungle",38.9,"iron"
"False",2,3,4496,1510,10,30364,8636,60,7866,"middle",37.1833333333333,"iron"
"False",6,5,2474,0,19,82652,20981,100,9240,"middle",28.2833333333333,"iron"
"True",3,0,1996,1996,12,56414,6460,92,6216,"middle",18.2,"iron"
"True",8,2,6449,3960,15,123423,14815,108,10761,"middle",25.6666666666667,"iron"
"True",15,8,20702,1700,58,190274,33340,171,18175,"middle",49.3166666666667,"iron"
"True",11,2,12038,7480,17,91126,9718,110,10801,"bottom",22.3833333333333,"iron"
"False",6,6,982,537,12,84807,23313,100,8971,"middle",27.5333333333333,"iron"
"False",5,9,3385,43,26,82640,24135,25,8763,"jungle",28.5833333333333,"iron"
"False",8,6,3926,3145,17,179344,15797,228,13941,"middle",33.1666666666667,"iron"
"True",14,5,18231,6115,12,169552,20954,242,15849,"middle",30.0833333333333,"iron"
"True",5,6,9235,7802,11,146848,17153,170,11599,"middle",28.15,"iron"
"True",16,2,3224,3224,11,123719,14117,150,13470,"middle",27.7166666666667,"iron"
"True",2,8,8651,5153,10,75099,12112,102,7912,"top",23.45,"iron"
