win,kills,deaths,dmgObj,dmgTurr,vision_score,totalDmg,totalDmgTaken,totalMinions,gold,position,time,rank
False,1.0,7.0,1250.0,438.0,47.0,85377.0,19347.0,61.0,8988.0,utility,35.15,iron
False,6.0,15.0,1946.0,0.0,53.0,34140.0,29669.0,34.0,9632.0,utility,34.46666666666667,iron
False,2.0,11.0,2438.0,391.0,87.0,33747.0,60589.0,34.0,9877.0,utility,44.65,iron
False,0.0,3.0,10394.0,210.0,14.0,149944.0,20255.0,25.0,7247.0,jungle,25.766666666666666,iron
True,7.0,4.0,34565.0,2972.0,25.0,284194.0,31323.0,96.0,16419.0,jungle,37.7,iron
True,2.0,3.0,21909.0,1638.0,9.0,125572.0,19775.0,13.0,7448.0,jungle,20.633333333333333,iron
False,3.0,2.0,11269.0,0.0,8.0,84226.0,13532.0,14.0,6547.0,jungle,15.45,iron
False,0.0,6.0,2485.0,841.0,12.0,69723.0,23527.0,110.0,6935.0,middle,28.966666666666665,iron
True,5.0,4.0,24746.0,1262.0,8.0,159811.0,29841.0,29.0,10804.0,jungle,25.966666666666665,iron
False,4.0,6.0,6899.0,969.0,20.0,224202.0,41685.0,72.0,12065.0,jungle,38.43333333333333,iron
True,1.0,3.0,23234.0,1227.0,16.0,131084.0,21751.0,11.0,7951.0,jungle,23.166666666666668,iron
False,7.0,11.0,17350.0,10331.0,17.0,170773.0,23878.0,165.0,15479.0,bottom,36.45,iron
True,4.0,5.0,6252.0,6252.0,9.0,54556.0,9807.0,99.0,8704.0,bottom,22.683333333333334,iron
False,3.0,14.0,11133.0,1504.0,5.0,129607.0,38534.0,130.0,9552.0,top,32.666666666666664,iron
False,7.0,12.0,8109.0,2670.0,8.0,137180.0,47851.0,125.0,12803.0,top,38.13333333333333,iron
True,9.0,14.0,9235.0,2105.0,9.0,198002.0,58199.0,172.0,14837.0,top,41.1,iron
True,3.0,5.0,13128.0,1201.0,6.0,75429.0,15900.0,91.0,7004.0,top,22.166666666666668,iron
False,1.0,12.0,1692.0,1218.0,1.0,64548.0,27624.0,80.0,7486.0,top,26.9,iron
